aerogenerador,material,quantidade_aerogenerador_material,unidade_medida,preco_aerogenerador_material,moeda,desc_grupo,idade_turbina,mtbf_aerogenerador_material,mtbf_aerogenerador,mtbf_material,quantidade_media_material,preco_medio_material,preco_aerogenerador
WF-BR-0PI-1219-Y1-A-001,P393119,2.0,UN,300.63,BRL-BRL,Electrical others,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,121 days 04:48:00,0.045454545454545456,8.41381313131313,151505.6
WF-BR-0PI-1219-Y1-A-001,GP018529,1.0,UN,165.04,BRL-BRL,Studs,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,404 days 18:00:00,0.03333333333333333,5.615055555555555,151505.6
WF-BR-0PI-1219-Y1-A-001,GP195791,3.0,UN,10173.95,BRL-BRL,Hydraulic acumulator G8/9,10.049999999999997,483 days 00:00:00,12 days 23:10:49.756097561,81 days 06:24:00,0.03935185185185185,138.59775462962963,151505.6
WF-BR-0PI-1219-Y1-A-001,50234,1.0,UN,1100.27,BRL-BRL,Hydraulic cylinders / actuators / accumulators,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,194 days 05:20:00,0.0308641975308642,45.56712962962963,151505.6
WF-BR-0PI-1219-Y1-A-001,GP040684,3.0,UN,1055.96,BRL-BRL,Electric and electronic cards and boards,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,136 days 08:00:00,0.14814814814814814,47.24435185185185,151505.6
WF-BR-0PI-1219-Y1-A-001,GP004892,4.0,UN,662.65,BRL-BRL,Electronic modules,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,476 days 08:00:00,0.04861111111111111,7.460902777777777,151505.6
WF-BR-0PI-1219-Y1-A-001,GP004889,1.0,UN,39.34,BRL-BRL,Electronic modules,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,423 days 16:00:00,0.041666666666666664,1.1415972222222222,151505.6
WF-BR-0PI-1219-Y1-A-001,P393115,4.0,UN,819.52,BRL-BRL,Measuring instruments (sensors) temperature / pressure / vib,10.049999999999997,21 days 00:00:00,12 days 23:10:49.756097561,181 days 21:20:00,0.041666666666666664,8.094027777777777,151505.6
WF-BR-0PI-1219-Y1-A-001,149391-002,26.75,L,368.78000000000003,BRL-BRL,,10.049999999999997,216 days 09:36:00,12 days 23:10:49.756097561,31 days 03:36:00,0.30443548387096775,4.1802508960573475,151505.6
WF-BR-0PI-1219-Y1-A-001,GP131157,255.2,UN,2733.83,BRL-BRL,Factory Auxiliaries,10.049999999999997,71 days 00:00:00,12 days 23:10:49.756097561,3 days 02:32:43.636363636,7.026111111111111,68.496373015873,151505.6
WF-BR-0PI-1219-Y1-A-001,GP007684,1.0,UN,13.77,BRL-BRL,Relays and solenoids,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,182 days 00:00:00,0.03125,0.4000694444444444,151505.6
WF-BR-0PI-1219-Y1-A-001,149191,5.0,UN,616.76,BRL-BRL,Lubricants and refrigerants,10.049999999999997,674 days 00:00:00,12 days 23:10:49.756097561,22 days 02:46:36.694214876,0.28174603174603174,32.05737301587302,151505.6
WF-BR-0PI-1219-Y1-A-001,153282,7.0,UN,8.68,BRL-BRL,Other processed steel,10.049999999999997,101 days 00:00:00,12 days 23:10:49.756097561,49 days 13:33:54.782608695,0.07275132275132275,0.0901984126984127,151505.6
WF-BR-0PI-1219-Y1-A-001,GP023271,1.0,UN,51.72,BRL-BRL,Functional Assembly,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,0 days 00:00:00,0.027777777777777776,1.43656432748538,151505.6
WF-BR-0PI-1219-Y1-A-001,GP096543,1.0,UN,1.01,BRL-BRL,Bolts,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,0 days 00:00:00,0.027777777777777776,0.028055555555555556,151505.6
WF-BR-0PI-1219-Y1-A-001,P650114,2.0,UN,0.9,BRL-BRL,Other processed steel G8/9,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,0 days 00:00:00,0.05555555555555555,0.025,151505.6
WF-BR-0PI-1219-Y1-A-001,GP004265,1.0,UN,7.34,BRL-BRL,Relays and solenoids,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,145 days 16:00:00,0.047619047619047616,0.3953968253968254,151505.6
WF-BR-0PI-1219-Y1-A-001,GP010565,1.0,UN,23.25,BRL-BRL,Electronic modules,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,0 days 00:00:00,0.027777777777777776,0.6458333333333334,151505.6
WF-BR-0PI-1219-Y1-A-001,GP000877,2.0,UN,2316.5299999999997,BRL-BRL,Electrical others,10.049999999999997,72 days 00:00:00,12 days 23:10:49.756097561,89 days 00:00:00,0.032679738562091505,30.900310457516337,151505.6
WF-BR-0PI-1219-Y1-A-001,GP183508,1.0,UN,8.56,BRL-BRL,Other processed steel G8/9,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,36 days 11:38:10.909090909,0.08994708994708994,0.7649074074074074,151505.6
WF-BR-0PI-1219-Y1-A-001,GP183509,2.0,UN,21.16,BRL-BRL,Other processed steel G8/9,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,37 days 15:00:00,0.07671957671957672,0.7962698412698413,151505.6
WF-BR-0PI-1219-Y1-A-001,GP183507,3.0,UN,25.29,BRL-BRL,Other processed steel G8/9,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,32 days 12:28:48,0.07500000000000001,0.6241666666666666,151505.6
WF-BR-0PI-1219-Y1-A-001,GP004216,12.0,UN,3.22,BRL-BRL,Bolts,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,0 days 00:00:00,0.3333333333333333,0.08944444444444445,151505.6
WF-BR-0PI-1219-Y1-A-001,GP086772,6.0,UN,7.18,BRL-BRL,Bolts,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,163 days 14:24:00,0.14814814814814814,0.2230092592592593,151505.6
WF-BR-0PI-1219-Y1-A-001,P370244,1.0,UN,46.91,BRL-BRL,Other mechanical components,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,130 days 07:12:00,0.03395061728395062,1.7351234567901233,151505.6
WF-BR-0PI-1219-Y1-A-001,GP049320,1.0,UN,8729.13,BRL-BRL,Transmissions / ball-joint seals,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,102 days 10:00:00,0.03282828282828283,308.71588383838383,151505.6
WF-BR-0PI-1219-Y1-A-001,GP266259,20.0,UN,1371.15,BRL-BRL,Electrical connectors / terminals / electrics compartments /,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,20 days 12:43:49.565217391,1.3148148148148149,91.22319023569024,151505.6
WF-BR-0PI-1219-Y1-A-001,GP115304,1.0,UN,197.17,BRL-BRL,Other processed steel G8/9,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,140 days 20:48:00,0.03632478632478633,9.30991452991453,151505.6
WF-BR-0PI-1219-Y1-A-001,GP117984,2.0,UN,425.14,BRL-BRL,Hydraulic group - others,10.049999999999997,249 days 00:00:00,12 days 23:10:49.756097561,63 days 03:41:32.307692308,0.03787878787878787,8.175883838383838,151505.6
WF-BR-0PI-1219-Y1-A-001,GP019453,1.0,UN,224.98,BRL-BRL,Electrical others,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,1225 days 00:00:00,0.027777777777777776,5.553888888888888,151505.6
WF-BR-0PI-1219-Y1-A-001,GP305361,1.0,UN,351.43,BRL-BRL,Electronic modules,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,42 days 04:05:51.219512195,0.051440329218107,28.433971193415637,151505.6
WF-BR-0PI-1219-Y1-A-001,GP084260,2.0,UN,24.98,BRL-BRL,,10.049999999999997,86 days 00:00:00,12 days 23:10:49.756097561,35 days 02:40:00,0.046603535353535355,0.5687289562289561,151505.6
WF-BR-0PI-1219-Y1-A-001,GP097182,0.0,UN,61789.11,BRL-BRL,Fences / partitions / doors / components,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,10 days 00:00:00,0.013888888888888888,1072.7276388888888,151505.6
WF-BR-0PI-1219-Y1-A-001,GP166169,1.0,UN,87.08,BRL-BRL,Relays and solenoids,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,38 days 02:07:03.529411764,0.04710144927536232,4.007246376811595,151505.6
WF-BR-0PI-1219-Y1-A-001,GP166170,1.0,UN,33.03,BRL-BRL,Relays and solenoids,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,69 days 09:13:50.769230769,0.029914529914529912,0.991474358974359,151505.6
WF-BR-0PI-1219-Y1-A-001,P393068,4.0,UN,39.9,BRL-BRL,Lighting equipment,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,29 days 00:00:00,0.1746031746031746,1.9349999999999998,151505.6
WF-BR-0PI-1219-Y1-A-001,109534,2.0,UN,258.83,BRL-BRL,Valves,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,177 days 06:51:25.714285714,0.05555555555555555,7.266203703703703,151505.6
WF-BR-0PI-1219-Y1-A-001,GP005798,4.0,UN,695.04,BRL-BRL,Other mechanical components,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,107 days 04:14:07.058823530,0.0425925925925926,7.6149814814814825,151505.6
WF-BR-0PI-1219-Y1-A-001,C393086,1.0,UN,132.72,BRL-BRL,Rest of cables G8/9,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,61 days 11:15:00,0.04050925925925926,4.359652777777778,151505.6
WF-BR-0PI-1219-Y1-A-001,GP095586,6.0,UN,13.46,BRL-BRL,,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,232 days 06:51:25.714285716,0.1111111111111111,0.1826388888888889,151505.6
WF-BR-0PI-1219-Y1-A-001,GP123319-002,2.0,UN,1005.23,BRL-BRL,Adhesives,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,0 days 00:00:00,0.05555555555555555,27.923055555555557,151505.6
WF-BR-0PI-1219-Y1-A-001,P050005,4.0,UN,25.2,BRL-BRL,Electrical others,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,45 days 18:40:00,0.09640522875816994,0.730751633986928,151505.6
WF-BR-0PI-1219-Y1-A-001,GP516065,1.0,UN,108.56,BRL-BRL,Sheets / panels / tabs,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,1 days 20:21:49.090909090,0.02859477124183006,3.0156372549019608,151505.6
WF-BR-0PI-1219-Y1-A-001,A9B10308366,4.0,UN,0.26,BRL-BRL,Raw Material,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,1 days 21:10:35.294117647,0.11269841269841269,0.006888888888888889,151505.6
WF-BR-0PI-1219-Y1-A-001,149774,0.7999999999999999,UN,11.96,BRL-BRL,Consumible,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,19 days 20:00:00,0.016339869281045753,0.679795751633987,151505.6
WF-BR-0PI-1219-Y1-A-001,GP463528,2.0,UN,726.16,BRL-BRL,Electrical others,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,1 days 22:03:14.594594594,0.06699346405228758,24.229910130718952,151505.6
WF-BR-0PI-1219-Y1-A-001,GP006636,0.7999999999999999,UN,3.9,BRL-BRL,Consumible - Others,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,48 days 05:38:49.411764706,0.012173202614379085,0.18049019607843136,151505.6
WF-BR-0PI-1219-Y1-A-001,115543,50.0,UN,392.12,BRL-BRL,Other processed steel,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,26 days 23:18:51.428571428,1.4772727272727273,10.829882154882155,151505.6
WF-BR-0PI-1219-Y1-A-001,GP522769,2.0,UN,4.01,BRL-BRL,Labels / stickers / signaling plates,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,1 days 21:10:35.294117647,0.05555555555555555,0.1097936507936508,151505.6
WF-BR-0PI-1219-Y1-A-001,GP531921,1.0,UN,156.9,BRL-BRL,Cables and electrical conductors,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,1 days 18:30:51.428571428,0.028571428571428567,4.48284126984127,151505.6
WF-BR-0PI-1219-Y1-A-001,GP522771,2.0,UN,4.01,BRL-BRL,Labels / stickers / signaling plates,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,1 days 19:03:31.764705882,0.05555555555555555,0.11138888888888888,151505.6
WF-BR-0PI-1219-Y1-A-001,GP006030,1.0,UN,318.81,BRL-BRL,Rest of cables G8/9,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,1 days 21:45:00,0.027777777777777776,8.855833333333333,151505.6
WF-BR-0PI-1219-Y1-A-001,GP006028,2.0,UN,324.48,BRL-BRL,Rest of cables G8/9,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,1 days 21:10:35.294117647,0.05634920634920634,8.884571428571428,151505.6
WF-BR-0PI-1219-Y1-A-001,GP004247,2.0,UN,1.71,BRL-BRL,Bolts,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,1 days 21:10:35.294117647,0.05634920634920634,0.044753968253968254,151505.6
WF-BR-0PI-1219-Y1-A-001,P390350,100.0,UN,8.01,BRL-BRL,Electrical others,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,43 days 02:24:00,4.517460317460317,0.757968253968254,151505.6
WF-BR-0PI-1219-Y1-A-001,GP533128,1.0,UN,141.15,BRL-BRL,Measuring instruments (sensors) temperature / pressure / vib,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,27 days 15:23:04.615384615,0.0361952861952862,4.741498316498316,151505.6
WF-BR-0PI-1219-Y1-A-001,GP522765,2.0,UN,4.01,BRL-BRL,Labels / stickers / signaling plates,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,1 days 22:32:43.636363636,0.05718954248366012,0.10974673202614377,151505.6
WF-BR-0PI-1219-Y1-A-001,GP522768,2.0,UN,4.01,BRL-BRL,Labels / stickers / signaling plates,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,1 days 22:32:43.636363636,0.05718954248366012,0.10482843137254902,151505.6
WF-BR-0PI-1219-Y1-A-001,A9B10308374,2.0,UN,0.26,BRL-BRL,Raw Material,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,1 days 19:03:31.764705882,0.057142857142857134,0.007619047619047619,151505.6
WF-BR-0PI-1219-Y1-A-001,GP000412,0.0,UN,1.85,BRL-BRL,Electrical others,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,44 days 14:07:03.529411764,1.4089506172839505,0.07004629629629629,151505.6
WF-BR-0PI-1219-Y1-A-001,GP522766,2.0,UN,4.03,BRL-BRL,Labels / stickers / signaling plates,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,1 days 19:03:31.764705882,0.05555555555555555,0.11013492063492063,151505.6
WF-BR-0PI-1219-Y1-A-001,GP522770,2.0,UN,4.01,BRL-BRL,Labels / stickers / signaling plates,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,1 days 21:10:35.294117647,0.057142857142857134,0.105015873015873,151505.6
WF-BR-0PI-1219-Y1-A-001,GP006557,0.7,UN,30.69,BRL-BRL,Consumible,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,1 days 21:10:35.294117647,0.006190476190476191,1.0958650793650793,151505.6
WF-BR-0PI-1219-Y1-A-001,GP308178,1.0,UN,66.84,BRL-BRL,Consumible - Others,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,57 days 15:25:42.857142857,0.03888888888888889,3.3739814814814815,151505.6
WF-BR-0PI-1219-Y1-A-001,149773,0.7,UN,84.84,BRL-BRL,Consumible - Others,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,4 days 07:30:00,0.0196078431372549,2.376421568627451,151505.6
WF-BR-0PI-1219-Y1-A-001,P390054,70.0,UN,5.81,BRL-BRL,Electrical others,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,49 days 08:34:17.142857143,2.3796296296296298,0.20435185185185187,151505.6
WF-BR-0PI-1219-Y1-A-001,96589,1.0,UN,18.28,BRL-BRL,Paint,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,38 days 11:08:34.285714285,0.08237547892720307,1.4870498084291188,151505.6
WF-BR-0PI-1219-Y1-A-001,GP134149,1.0,UN,73.16,BRL-BRL,Ventilator / Fan/ Air heaters,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,86 days 08:43:38.181818182,0.034722222222222224,2.5839120370370368,151505.6
WF-BR-0PI-1219-Y1-A-001,GP091188,1.0,UN,1114.9,BRL-BRL,,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,251 days 08:00:00,0.020833333333333332,46.45423611111111,151505.6
WF-BR-0PI-1219-Y1-A-001,GP004262,4.0,UN,63.11,BRL-BRL,Relays and solenoids,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,69 days 11:15:00,0.08611111111111111,1.384375,151505.6
WF-BR-0PI-1219-Y1-A-001,GP234956,25.0,UN,2076.29,BRL-BRL,Rubber  parts,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,20 days 11:31:12,0.45580808080808083,43.96315656565657,151505.6
WF-BR-0PI-1219-Y1-A-001,181921,2.8,UN,142.64,BRL-BRL,Factory Auxiliaries,10.049999999999997,93 days 09:36:00,12 days 23:10:49.756097561,10 days 02:33:20,0.1727579365079365,5.631134920634921,151505.6
WF-BR-0PI-1219-Y1-A-001,GP235307,25.0,UN,790.2,BRL-BRL,Plastic parts,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,24 days 00:00:00,0.4166666666666667,16.436041666666668,151505.6
WF-BR-0PI-1219-Y1-A-001,218150,4.0,UN,445.89,BRL-BRL,Factory Auxiliaries,10.049999999999997,133 days 12:00:00,12 days 23:10:49.756097561,7 days 10:01:58.032786885,0.09436507936507937,9.603253968253968,151505.6
WF-BR-0PI-1219-Y1-A-001,181920,0.5,UN,11.38,BRL-BRL,Factory Auxiliaries,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,40 days 13:50:46.153846154,0.04886904761904762,0.5575992063492063,151505.6
WF-BR-0PI-1219-Y1-A-001,GP006248,2.0,UN,15.86,BRL-BRL,Consumible - Others,10.049999999999997,21 days 00:00:00,12 days 23:10:49.756097561,4 days 15:43:26.896551724,0.030753968253968256,0.2438095238095238,151505.6
WF-BR-0PI-1219-Y1-A-001,GP047999,2.0,UN,15.76,BRL-BRL,,10.049999999999997,21 days 00:00:00,12 days 23:10:49.756097561,2 days 22:13:20,0.02983539094650206,0.23510288065843618,151505.6
WF-BR-0PI-1219-Y1-A-001,GP004258,1.0,UN,558.97,BRL-BRL,Relays and solenoids,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,90 days 17:08:34.285714286,0.027777777777777776,15.629340277777779,151505.6
WF-BR-0PI-1219-Y1-A-001,P393405,2.0,UN,196.85,BRL-BRL,Electric and electronic measuring equipment,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,156 days 11:17:38.823529412,0.06196581196581197,5.4465598290598285,151505.6
WF-BR-0PI-1219-Y1-A-001,C102123,3.0,UN,3937.08,BRL-BRL,Blade sealing G8/9,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,10 days 19:30:00,0.08333333333333333,114.37720486111112,151505.6
WF-BR-0PI-1219-Y1-A-001,704629,2.0,UN,32.22,BRL-BRL,Other mechanical components,10.049999999999997,140 days 00:00:00,12 days 23:10:49.756097561,41 days 18:17:08.571428571,0.06893004115226337,1.052849794238683,151505.6
WF-BR-0PI-1219-Y1-A-001,GP088817,10.0,UN,26.81,BRL-BRL,,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,54 days 09:20:00,0.21180555555555555,1.27171875,151505.6
WF-BR-0PI-1219-Y1-A-001,GP011692,3.0,UN,847.15,BRL-BRL,Electrical others,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,124 days 12:00:00,0.057692307692307696,14.749935897435895,151505.6
WF-BR-0PI-1219-Y1-A-001,50837,1.0,UN,29.15,BRL-BRL,Boilerwork pieces,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,46 days 04:48:00,0.05092592592592592,1.3962777777777777,151505.6
WF-BR-0PI-1219-Y1-A-001,GP566505,1.0,UN,264.43,BRL-BRL,Measuring instruments (sensors) temperature / pressure / vib,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,82 days 00:00:00,0.0462962962962963,12.902283950617283,151505.6
WF-BR-0PI-1219-Y1-A-001,GP028284,1.0,UN,7.36,BRL-BRL,Other processed steel G8/9,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,160 days 03:25:42.857142858,0.07936507936507936,0.5742063492063493,151505.6
WF-BR-0PI-1219-Y1-A-001,GP028582,1.0,UN,201.64,BRL-BRL,Other processed steel G8/9,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,100 days 05:32:18.461538462,0.059829059829059825,11.368846153846155,151505.6
WF-BR-0PI-1219-Y1-A-001,GP029902,1.0,UN,30.01,BRL-BRL,Other processed steel G8/9,10.049999999999997,0 days 00:00:00,12 days 23:10:49.756097561,93 days 10:00:00,0.06565656565656566,2.4001262626262627,151505.6
